Index,Load_Level,Solar_Level,Wind_Level,From_Bus,To_Bus,Before_Min_Voltage,Solar_Headroom_MW,Wind_Headroom_MW,Solar_Support_pu,Wind_Support_pu,Total_Curtailment_MW,After_Min_Voltage,After_Max_Voltage,Safety_Result
312,1.15,0.7,1.0,6,7,0.9276205676679036,0.0,0.006675190129107265,1.0332780765097533,1.0001492799452076,0.006675190129107265,0.9501504668542355,1.0332780765097533,Safety Corrected
313,1.15,0.7,1.0,7,8,0.8398942613953965,0.12080518737795562,10.074946617149003,1.0499898968645403,1.049735981796809,10.195751804526958,0.9514425421645298,1.04998989686454,AI Direct
320,1.15,0.8,0.8,3,6,0.9420858651789948,0.0,0.0,1.0155202544705322,1.0000264251401663,0.0,0.9499995530679698,1.0155202544705322,AI Direct
321,1.15,0.8,0.8,6,7,0.9295616566902116,0.0,0.0,1.0266020433576686,1.0000000000000002,0.0,0.9501502123855691,1.0266020433576686,Safety Corrected
322,1.15,0.8,0.8,7,8,0.9101603406693368,0.04595223251953441,0.23999338137528853,1.0306761474865622,1.0377225711739728,0.2859456138948229,0.9500270526746393,1.0377225711739728,Safety Corrected
323,1.15,0.8,0.9,3,6,0.9420858651789948,0.0,0.0,1.0165143795270335,1.0000196773533567,0.0,0.9505051108718431,1.0165143795270335,Safety Corrected
324,1.15,0.8,0.9,6,7,0.9294168305530796,0.0,0.0,1.0274622845885446,1.0000416675214605,0.0,0.9500820244146245,1.027462284588544,Safety Corrected
325,1.15,0.8,0.9,7,8,0.912405194648255,0.16120344884930576,2.309665771381428,1.0498203309322571,1.0484522259297515,2.4708692202307336,0.9513976303501175,1.0498203309322571,Safety Corrected
335,1.15,0.9,0.8,3,6,0.9431120131379812,0.0,0.0,1.0144558781768427,1.0000198776062836,0.0,0.9505091348919306,1.0144558781768427,Safety Corrected
336,1.15,0.9,0.8,6,7,0.9304678797113488,0.0,0.0,1.0245186254397973,1.0000369129892728,0.0,0.9501313789004503,1.0245186254397975,AI Direct
337,1.15,0.9,0.8,7,8,0.9095746147893424,0.18436674011632545,0.43936026443821935,1.03963314468495,1.0440675555175254,0.6237270045545448,0.9500375617621973,1.0440675555175252,Safety Corrected
373,1.2,0.7,0.6,3,6,0.93197878405642,0.0,0.0,1.0358597533295666,1.0000219607380532,0.0,0.9504826703121465,1.0358597533295666,Safety Corrected
374,1.2,0.7,0.6,6,7,0.9213277748586228,0.006928725291865715,0.0,1.0461169342881402,1.0014360709730292,0.006928725291865715,0.950542213688041,1.04611693428814,AI Direct
375,1.2,0.7,0.6,7,8,0.8956143793080542,4.211379099985808,0.5961002506488112,1.05,1.05,4.807479350634619,0.9500528424598361,1.0500000000000003,Safety Corrected
376,1.2,0.7,0.7,3,6,0.93197878405642,0.0,0.0,1.0358656278858407,1.0000219607380532,0.0,0.9504856832349244,1.035865627885841,Safety Corrected
377,1.2,0.7,0.7,6,7,0.9212784465310722,0.0,0.0,1.0461445018208795,1.0004830826520879,0.0,0.9502733425873297,1.0461445018208793,AI Direct
378,1.2,0.7,0.7,7,8,0.8987401726136913,1.2516221452004017,2.205576895284288,1.047120787125194,1.0481945320903843,3.4571990404846895,0.9503329768433088,1.0481945320903838,AI Direct
407,1.2,0.9,0.8,3,6,0.9356789929339188,0.0,0.0,1.027686965293866,1.0,0.0,0.9500016797183602,1.027686965293866,AI Direct
408,1.2,0.9,0.8,6,7,0.9243165028272856,0.0,0.0,1.0377103851057974,1.0,0.0,0.9502491020033846,1.0377103851057974,Safety Corrected
