Index,Fixed_Headroom_Percent,Curtailment_MW,Solved,Secure,Final_Min_Voltage,Final_Max_Voltage
225,10,16.580000000000002,True,True,0.9694595991595815,1.0500000000000005
226,10,16.580000000000002,True,True,0.9668951506705008,1.0500000000000003
227,10,16.580000000000002,True,True,0.9702178073816872,1.0499999999999998
228,10,17.43,True,True,0.9694595991595815,1.0500000000000005
229,10,17.43,True,True,0.9666233360991514,1.0500000000000003
230,10,17.43,True,True,0.9720797638105843,1.0500000000000003
258,10,20.69,True,True,0.973440653654181,1.05
259,10,20.69,True,True,0.9714967450440056,1.0499999999999998
260,10,20.69,True,True,0.9694984964190431,1.0499999999999998
261,10,21.54,True,True,0.973440653654181,1.05
262,10,21.54,True,True,0.971103210393503,1.05
263,10,21.54,True,True,0.9701938835380107,1.0500000000000003
266,10,20.62,True,True,0.9732204064747552,1.0500000000000003
267,10,20.62,True,True,0.963805598775989,1.05
274,10,21.400000000000002,True,True,0.9737811603141672,1.05
275,10,21.400000000000002,True,True,0.957999974492285,1.0500000000000003
287,10,15.73,True,True,0.9612795987100052,1.05
288,10,15.73,True,True,0.9596724402197742,1.0500000000000003
289,10,15.73,True,True,0.9599842394796151,1.05
311,10,19.91,True,True,0.9639798748797178,1.0499999999999998
312,10,19.91,True,True,0.9624438016976473,1.0500000000000007
313,10,19.91,True,False,0.9449868988257679,1.05
320,10,19.840000000000003,True,True,0.9660707175655995,1.05
321,10,19.840000000000003,True,True,0.9655542153390881,1.05
322,10,19.840000000000003,True,True,0.9618196748151715,1.05
323,10,20.69,True,True,0.9660707175655995,1.05
324,10,20.69,True,True,0.9652830598143277,1.05
325,10,20.69,True,True,0.9638561779126256,1.05
335,10,21.470000000000002,True,True,0.9675856389079059,1.05
336,10,21.470000000000002,True,True,0.9671857581730368,1.05
337,10,21.470000000000002,True,True,0.9595936648219,1.05
373,10,16.51,True,True,0.9557063312079194,1.0499999999999998
374,10,16.51,True,True,0.9558819390424298,1.05
375,10,16.51,True,False,0.94853227160256,1.05
376,10,17.36,True,True,0.9557063312079194,1.0499999999999998
377,10,17.36,True,True,0.9558567220421236,1.05
378,10,17.36,True,True,0.9512292105734496,1.0499999999999998
407,10,21.470000000000002,True,True,0.9601250754022062,1.0500000000000003
408,10,21.470000000000002,True,True,0.9609865164680558,1.0500000000000003
409,10,21.470000000000002,True,False,0.9424185625511653,1.0499999999999998
7,15,27.419999999999998,True,False,0.9527745148653708,1.0502901060331098
8,15,24.764999999999997,True,True,0.9904935109491333,1.0500000000000005
9,15,24.764999999999997,True,False,0.9534347305097577,1.050209881931478
10,15,26.04,True,True,0.9910249542029202,1.0500000000000003
11,15,26.04,True,False,0.9532229857169394,1.0503326245794502
26,15,30.93,True,True,0.984153986031785,1.05
27,15,30.93,True,False,0.9515209637928103,1.0501835940479223
